date,AAPL,ADBE,AMD,AMZN,BABA,GOOG,IBM,INTC,META,MSFT,NVDA,ORCL,SAP,TSLA
2020-12-21,-0.002,0.289,0.292,0.306,0.081,-0.114,0.325,0.336,0.229,0.249,0.168,-0.054,0.383,0.112
2020-12-22,-0.07,0.289,0.079,0.352,0.108,0.132,0.311,-0.086,-0.09,0.109,0.322,0.004,0.383,-0.198
2020-12-23,0.083,0.289,0.253,0.214,-0.026,0.185,0.316,-0.017,0.137,0.349,0.357,0.004,0.383,-0.091
2020-12-24,0.051,0.278,0.058,0.217,0.229,0.106,0.22,0.043,0.038,0.202,0.429,0.031,0.383,-0.089
2020-12-25,0.182,0.291,0.029,0.299,0.021,0.237,0.22,0.017,-0.024,0.138,0.388,0.031,0.383,0.094
2020-12-28,0.452,0.325,0.016,0.29,0.043,0.202,0.175,0.193,0.0,0.287,0.35,0.031,0.383,0.176
2020-12-29,0.268,0.362,0.037,0.109,0.107,0.159,0.164,0.267,-0.083,0.446,0.2,0.082,0.361,0.111
2020-12-30,-0.054,0.362,0.032,0.243,0.041,0.082,0.248,-0.204,-0.111,0.449,0.117,-0.088,0.399,0.325
2020-12-31,0.255,0.362,0.008,0.174,-0.009,0.331,0.163,0.034,0.02,0.141,0.267,-0.125,0.35,0.251
2021-01-01,0.279,0.362,0.05,0.21,0.082,0.219,0.194,0.116,-0.024,0.262,0.307,-0.125,0.35,0.307
2021-01-04,0.331,0.333,0.115,0.218,-0.088,0.348,0.215,0.1,0.038,0.355,0.307,-0.125,0.35,0.072
2021-01-05,0.279,0.373,0.243,0.119,-0.217,0.152,0.206,0.123,0.071,0.285,0.401,-0.125,0.35,0.254
2021-01-06,0.365,0.356,0.169,0.153,-0.075,0.15,0.327,0.112,0.109,0.286,0.317,-0.125,0.389,0.06
2021-01-07,0.084,0.342,0.155,0.272,-0.15,0.011,0.383,-0.037,-0.283,-0.068,0.209,-0.061,0.389,0.24
2021-01-08,0.247,0.367,0.2,0.102,-0.085,-0.173,0.387,-0.037,-0.259,0.019,0.171,0.08,0.389,0.217
2021-01-11,-0.074,0.356,0.186,0.252,-0.159,-0.062,0.228,0.153,-0.025,0.293,0.306,0.079,0.389,0.041
2021-01-12,-0.201,0.336,0.048,-0.053,-0.045,-0.086,0.281,0.204,-0.367,0.293,0.073,0.079,0.389,0.134
2021-01-13,-0.03,0.318,0.224,0.069,-0.071,-0.235,0.281,0.112,0.038,0.161,0.064,0.079,0.538,0.099
2021-01-14,0.096,0.31,0.325,0.032,0.005,-0.058,0.305,-0.002,-0.175,-0.128,0.23,0.128,0.538,0.053
2021-01-15,0.111,0.292,0.167,0.168,0.068,-0.174,0.303,0.018,-0.425,-0.207,0.226,0.11,0.557,0.208
2021-01-18,0.428,0.262,0.157,0.334,-0.012,-0.011,0.279,0.152,-0.221,0.121,0.272,0.11,0.588,0.264
2021-01-19,0.208,0.262,0.157,0.276,0.036,-0.14,0.172,0.06,-0.083,0.218,0.272,0.11,0.588,0.421
2021-01-20,0.102,0.329,0.149,0.227,0.304,0.085,0.246,-0.006,0.083,0.217,0.166,0.11,0.554,-0.025
